incident_id,timestamp,severity,category,status,description
1000,2024-04-12 19:00:00.000000,Low,Malware,Closed,Malware detected and removed from workstation.
1001,2024-09-27 10:00:00.000000,Medium,Malware,Resolved,Ransomware blocked by endpoint protection.
1002,2024-03-12 20:00:00.000000,Critical,Misconfiguration,Resolved,Firewall misconfiguration exposed internal network.
1003,2024-04-12 18:00:00.000000,Medium,Phishing,Open,Phishing email reported by employee.
1004,2024-08-02 10:00:00.000000,Medium,Phishing,In Progress,Multiple users received suspicious login prompts.
1005,2024-03-28 20:00:00.000000,Medium,Phishing,In Progress,Credential harvesting attempt via fake website.
1006,2024-04-09 07:00:00.000000,Medium,Phishing,In Progress,Phishing campaign targeting finance department.
1007,2024-05-31 02:00:00.000000,Medium,Malware,In Progress,Malware infection spreading on local network.
1008,2024-05-29 20:00:00.000000,Medium,Malware,Open,Unusual outbound traffic detected from server.
1009,2024-09-14 23:00:00.000000,Medium,Malware,Open,Malicious attachment opened by staff member.
1010,2024-10-20 01:00:00.000000,Critical,Unauthorized Access,Closed,Unauthorized access to sensitive HR records.
1011,2024-07-10 20:00:00.000000,Medium,Misconfiguration,In Progress,Incorrect permissions set on shared folder.
1012,2024-06-09 11:00:00.000000,High,Phishing,Closed,Executive received targeted spear-phishing email.
1013,2024-01-22 11:00:00.000000,Low,Phishing,In Progress,Generic phishing attempt blocked by spam filter.
1014,2024-02-18 09:00:00.000000,Medium,DDoS,In Progress,Website experiencing denial-of-service attack.
1015,2024-07-06 15:00:00.000000,Low,Malware,Resolved,Adware removed from employee laptop.
1016,2024-09-27 14:00:00.000000,Medium,Phishing,Closed,Phishing link clicked.
1017,2024-02-20 11:00:00.000000,Low,Phishing,Closed,Phishing attempt reported.
1018,2024-02-24 19:00:00.000000,Low,Phishing,In Progress,Phishing SMS sent to company phones.
1019,2024-05-10 04:00:00.000000,High,Unauthorized Access,Closed,Compromised credentials used for VPN login.
1020,2024-05-14 20:00:00.000000,Medium,Phishing,In Progress,Fake invoice email received by accounting.
1021,2024-06-15 17:00:00.000000,Medium,DDoS,Resolved,Mitigated DDoS attack on public website.
1022,2024-03-29 13:00:00.000000,Low,Malware,Resolved,Malicious browser extension removed.
1023,2024-08-29 08:00:00.000000,Medium,Phishing,Resolved,Phishing campaign blocked by security gateway.
